"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M10","2023 October","2","Visit to friends/relatives","%","31.4"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M10","2023 October","4","Other reason for journey","%","6.2"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M10","2023 October","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M11","2023 November","3","Business","%","18.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M11","2023 November","1","Holiday/leisure/recreation","%","39.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M11","2023 November","2","Visit to friends/relatives","%","36.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M11","2023 November","4","Other reason for journey","%","5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M11","2023 November","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M12","2023 December","3","Business","%","17.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M12","2023 December","1","Holiday/leisure/recreation","%","32.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M12","2023 December","2","Visit to friends/relatives","%","40.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M12","2023 December","4","Other reason for journey","%","9.2"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M12","2023 December","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M01","2024 January","3","Business","%","13"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M01","2024 January","1","Holiday/leisure/recreation","%","35.3"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M01","2024 January","2","Visit to friends/relatives","%","46.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M01","2024 January","4","Other reason for journey","%","4.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M01","2024 January","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M02","2024 February","3","Business","%","20.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M02","2024 February","1","Holiday/leisure/recreation","%","35.4"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M02","2024 February","2","Visit to friends/relatives","%","36.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M02","2024 February","4","Other reason for journey","%","7.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M02","2024 February","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M03","2024 March","3","Business","%","15.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M03","2024 March","1","Holiday/leisure/recreation","%","46.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M03","2024 March","2","Visit to friends/relatives","%","29.4"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M03","2024 March","4","Other reason for journey","%","8.3"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M03","2024 March","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M04","2024 April","3","Business","%","15.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M04","2024 April","1","Holiday/leisure/recreation","%","41.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M04","2024 April","2","Visit to friends/relatives","%","35.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M04","2024 April","4","Other reason for journey","%","6.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M04","2024 April","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M05","2024 May","3","Business","%","15.3"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M05","2024 May","1","Holiday/leisure/recreation","%","45.1"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M05","2024 May","2","Visit to friends/relatives","%","29.2"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M05","2024 May","4","Other reason for journey","%","10.4"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M05","2024 May","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M06","2024 June","3","Business","%","16"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M06","2024 June","1","Holiday/leisure/recreation","%","45.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M06","2024 June","2","Visit to friends/relatives","%","28.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M06","2024 June","4","Other reason for journey","%","9.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M06","2024 June","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M07","2024 July","3","Business","%","13.1"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M07","2024 July","1","Holiday/leisure/recreation","%","45.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M07","2024 July","2","Visit to friends/relatives","%","30.1"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M07","2024 July","4","Other reason for journey","%","11"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M07","2024 July","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M08","2024 August","3","Business","%","9.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M08","2024 August","1","Holiday/leisure/recreation","%","48.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M08","2024 August","2","Visit to friends/relatives","%","32.3"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M08","2024 August","4","Other reason for journey","%","9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2024M08","2024 August","-","All reasons for journey","%","100"
"ITM04C03","Number of Nights by Foreign Visitors","2023M01","2023 January","3","Business","Thousand","230.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M01","2023 January","1","Holiday/leisure/recreation","Thousand","604.5"
"ITM04C03","Number of Nights by Foreign Visitors","2023M01","2023 January","2","Visit to friends/relatives","Thousand","2289.7"
"ITM04C03","Number of Nights by Foreign Visitors","2023M01","2023 January","4","Other reason for journey","Thousand","571.1"
"ITM04C03","Number of Nights by Foreign Visitors","2023M01","2023 January","-","All reasons for journey","Thousand","3696.2"
"ITM04C03","Number of Nights by Foreign Visitors","2023M02","2023 February","3","Business","Thousand","373.7"
"ITM04C03","Number of Nights by Foreign Visitors","2023M02","2023 February","1","Holiday/leisure/recreation","Thousand","529.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M02","2023 February","2","Visit to friends/relatives","Thousand","913.2"
"ITM04C03","Number of Nights by Foreign Visitors","2023M02","2023 February","4","Other reason for journey","Thousand","626.6"
"ITM04C03","Number of Nights by Foreign Visitors","2023M02","2023 February","-","All reasons for journey","Thousand","2443.3"
"ITM04C03","Number of Nights by Foreign Visitors","2023M03","2023 March","3","Business","Thousand","312.3"
"ITM04C03","Number of Nights by Foreign Visitors","2023M03","2023 March","1","Holiday/leisure/recreation","Thousand","910.1"
"ITM04C03","Number of Nights by Foreign Visitors","2023M03","2023 March","2","Visit to friends/relatives","Thousand","1012.3"
"ITM04C03","Number of Nights by Foreign Visitors","2023M03","2023 March","4","Other reason for journey","Thousand","909.4"
"ITM04C03","Number of Nights by Foreign Visitors","2023M03","2023 March","-","All reasons for journey","Thousand","3144.1"
"ITM04C03","Number of Nights by Foreign Visitors","2023M04","2023 April","3","Business","Thousand","604.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M04","2023 April","1","Holiday/leisure/recreation","Thousand","982.9"
"ITM04C03","Number of Nights by Foreign Visitors","2023M04","2023 April","2","Visit to friends/relatives","Thousand","1408"
"ITM04C03","Number of Nights by Foreign Visitors","2023M04","2023 April","4","Other reason for journey","Thousand","671.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M04","2023 April","-","All reasons for journey","Thousand","3667.5"
"ITM04C03","Number of Nights by Foreign Visitors","2023M05","2023 May","3","Business","Thousand","463.3"
"ITM04C03","Number of Nights by Foreign Visitors","2023M05","2023 May","1","Holiday/leisure/recreation","Thousand","1493.5"
"ITM04C03","Number of Nights by Foreign Visitors","2023M05","2023 May","2","Visit to friends/relatives","Thousand","1341.4"
"ITM04C03","Number of Nights by Foreign Visitors","2023M05","2023 May","4","Other reason for journey","Thousand","1177.9"
"ITM04C03","Number of Nights by Foreign Visitors","2023M05","2023 May","-","All reasons for journey","Thousand","4476.1"
"ITM04C03","Number of Nights by Foreign Visitors","2023M06","2023 June","3","Business","Thousand","433.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M06","2023 June","1","Holiday/leisure/recreation","Thousand","1946.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M06","2023 June","2","Visit to friends/relatives","Thousand","1589.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M06","2023 June","4","Other reason for journey","Thousand","547.8"
"ITM04C03","Number of Nights by Foreign Visitors","2023M06","2023 June","-","All reasons for journey","Thousand","4518.2"
"ITM04C03","Number of Nights by Foreign Visitors","2023M07","2023 July","3","Business","Thousand","393.9"
